State,Date,Negative Impact,% SB having decrease in revenue,Approx. Mean Revenue,Full Name,% SB close for at least one day,% SB having disruptions in supply chain,% SB shift production/services,% SB only do pickup/delivery,Approx. Days Till Normal,% SB having decrease in paid employee,% SB having decrease in paid employee work hours,Approx. Days Cash on Hand Can Cover,% SB missed loan payment,% SB missed other scheduled payment,% SB requested financial assistance from PPP,% SB received financial assistance from PPP,% SB not received financial assistance from Federal program
NV,2020-05-09,87.6,0.701,12775.5,Nevada,0.35,0.41200000000000003,0.071,0.142,243.89999999999998,0.259,0.44,63.26649999999999,0.091,0.21,0.741,0.461,0.45
NY,2020-05-09,88.7,0.7559999999999999,37031.5,New York,0.539,0.46,0.069,0.141,263.4,0.29100000000000004,0.457,60.138999999999996,0.146,0.358,0.764,0.5660000000000001,0.358
OH,2020-05-09,86.5,0.6629999999999999,44909.0,Ohio,0.366,0.45,0.055999999999999994,0.153,251.17499999999995,0.251,0.42,64.537,0.091,0.198,0.779,0.605,0.341
OK,2020-05-09,84.7,0.644,11406.25,Oklahoma,0.298,0.42100000000000004,0.051,0.193,238.19999999999996,0.14800000000000002,0.43200000000000005,56.278000000000006,0.092,0.128,0.7709999999999999,0.685,0.267
OR,2020-05-09,87.6,0.682,34579.0,Oregon,0.327,0.392,0.07,0.10300000000000001,265.23,0.23,0.451,73.114,0.10400000000000001,0.193,0.685,0.455,0.467
PA,2020-05-09,86.7,0.688,34515.5,Pennsylvania,0.442,0.45899999999999996,0.057,0.157,235.245,0.258,0.436,61.79849999999999,0.109,0.223,0.75,0.593,0.32899999999999996
PR,2020-05-09,95.19999999999999,0.769,4541.0,Puerto Rico,0.725,0.662,0.172,0.205,175.5,0.361,0.655,39.04650000000001,0.23,0.499,0.6709999999999999,0.28800000000000003,0.591
RI,2020-05-09,95.3,0.733,7775.999999999999,Rhode Island,0.377,0.37200000000000005,,,109.36499999999998,0.19,0.425,47.14,,0.22,0.677,0.555,0.35600000000000004
SC,2020-05-09,83.3,0.638,40441.5,South Carolina,0.324,0.41200000000000003,0.048,0.133,203.46000000000004,0.2,0.39399999999999996,55.466499999999996,0.09300000000000001,0.205,0.7559999999999999,0.595,0.354
SD,2020-05-09,80.7,0.527,7661.75,South Dakota,0.237,0.349,,0.17800000000000002,134.205,0.145,0.307,62.346500000000006,,,0.703,0.627,0.305
TN,2020-05-09,87.9,0.622,26719.75,Tennessee,0.284,0.47700000000000004,0.068,0.163,222.51000000000002,0.187,0.39,65.4505,0.094,0.151,0.7929999999999999,0.66,0.304
TX,2020-05-09,85.0,0.6659999999999999,43000.25,Texas,0.307,0.408,0.078,0.155,238.605,0.16399999999999998,0.387,67.07499999999999,0.12300000000000001,0.191,0.758,0.61,0.327
UT,2020-05-09,80.8,0.595,35367.75,Utah,0.23399999999999999,0.401,0.053,0.107,185.895,0.14300000000000002,0.391,60.1995,0.10800000000000001,0.177,0.733,0.563,0.40399999999999997
VA,2020-05-09,84.2,0.6679999999999999,40389.25,Virginia,0.33299999999999996,0.396,0.068,0.142,239.79000000000008,0.188,0.42100000000000004,71.856,0.11,0.252,0.75,0.488,0.408
VT,2020-05-09,89.19999999999999,0.715,5156.0,Vermont,0.43700000000000006,0.511,,0.191,122.41499999999999,0.177,0.44,52.078500000000005,0.094,0.14400000000000002,0.691,0.627,0.293
WA,2020-05-09,84.80000000000001,0.69,33275.0,Washington,0.447,0.452,0.081,0.145,246.75,0.254,0.466,69.827,0.094,0.235,0.703,0.474,0.42
WI,2020-05-09,84.00000000000001,0.6859999999999999,37777.0,Wisconsin,0.306,0.436,0.084,0.182,230.56500000000003,0.204,0.392,69.7045,0.091,0.155,0.7490000000000001,0.629,0.33799999999999997
WV,2020-05-09,83.1,0.726,3943.0,West Virginia,0.33,0.415,,0.18,109.65,0.266,0.401,27.7165,0.171,0.24100000000000002,0.7509999999999999,0.584,0.37200000000000005
WY,2020-05-09,83.39999999999999,0.574,2151.25,Wyoming,0.294,0.505,,0.163,123.21000000000001,0.17,0.41600000000000004,34.036,,,0.733,0.578,0.366
AK,2020-05-16,91.0,0.691,2379.5,Alaska,0.332,0.44299999999999995,,0.102,197.14500000000004,0.235,0.478,60.496,,0.121,0.74,0.69,0.293
AL,2020-05-16,84.8,0.536,17586.25,Alabama,0.27,0.40700000000000003,,0.18899999999999997,197.64000000000001,0.14,0.314,37.986000000000004,0.067,0.145,0.848,0.767,0.19
AR,2020-05-16,77.69999999999999,0.5720000000000001,13967.25,Arkansas,0.156,0.414,,0.21,167.655,0.174,0.309,47.438500000000005,0.132,0.11,0.693,0.643,0.32
AZ,2020-05-16,77.8,0.5579999999999999,31215.25,Arizona,0.258,0.374,0.047,0.09699999999999999,217.39500000000004,0.149,0.327,63.605999999999995,0.07200000000000001,0.179,0.721,0.648,0.318
CA,2020-05-16,85.9,0.654,35576.75,California,0.409,0.419,0.075,0.14400000000000002,260.28000000000003,0.242,0.406,74.071,0.111,0.242,0.728,0.617,0.327
CO,2020-05-16,84.6,0.5489999999999999,37412.25,Colorado,0.28600000000000003,0.40299999999999997,0.065,0.11,239.68500000000003,0.155,0.326,73.58399999999999,0.083,0.163,0.691,0.639,0.305
CT,2020-05-16,90.4,0.638,25308.75,Connecticut,0.387,0.402,0.07200000000000001,0.147,266.94,0.192,0.381,68.661,0.096,0.27699999999999997,0.747,0.6759999999999999,0.262
DC,2020-05-16,87.9,0.65,1755.0,District of Columbia,0.452,0.366,0.12300000000000001,,203.79000000000002,0.195,0.365,62.54999999999999,,0.344,0.758,0.596,0.33799999999999997
DE,2020-05-16,83.89999999999999,0.584,6228.5,Delaware,0.359,0.518,,0.192,112.91999999999999,0.24600000000000002,0.397,33.0585,0.11,0.20800000000000002,0.733,0.682,0.275
FL,2020-05-16,88.3,0.647,28552.25,Florida,0.321,0.4,0.066,0.12,238.85999999999999,0.161,0.381,64.1425,0.11199999999999999,0.218,0.753,0.649,0.293
GA,2020-05-16,88.1,0.599,39078.25,Georgia,0.268,0.41200000000000003,0.079,0.145,224.97000000000003,0.136,0.34,73.81500000000001,0.10300000000000001,0.18,0.7509999999999999,0.6659999999999999,0.27
HI,2020-05-16,87.9,0.7140000000000001,6812.5,Hawaii,0.409,0.433,,0.156,284.20500000000004,0.249,0.536,61.851,0.157,0.317,0.733,0.653,0.319
IA,2020-05-16,83.2,0.555,26856.0,Iowa,0.207,0.33899999999999997,0.071,0.165,209.79,0.135,0.254,54.878,0.053,0.10800000000000001,0.7390000000000001,0.691,0.273
ID,2020-05-16,77.5,0.489,11262.5,Idaho,0.20199999999999999,0.46,0.083,0.122,133.57500000000002,0.154,0.32899999999999996,54.465,0.07200000000000001,0.171,0.684,0.635,0.36
IL,2020-05-16,88.39999999999999,0.703,36831.25,Illinois,0.322,0.415,0.063,0.14,274.575,0.18899999999999997,0.392,64.9935,0.09300000000000001,0.204,0.752,0.691,0.263
IN,2020-05-16,83.5,0.578,34134.25,Indiana,0.24100000000000002,0.43799999999999994,0.071,0.126,226.33499999999998,0.16399999999999998,0.327,64.437,0.073,0.15,0.7709999999999999,0.705,0.266
KS,2020-05-16,80.0,0.565,15706.75,Kansas,0.263,0.381,0.051,0.17,219.945,0.087,0.298,66.67900000000002,0.068,0.142,0.764,0.721,0.22899999999999998
KY,2020-05-16,82.69999999999999,0.5429999999999999,13967.25,Kentucky,0.348,0.43200000000000005,0.083,0.19899999999999998,199.68,0.16699999999999998,0.385,66.51600000000002,0.10300000000000001,0.158,0.691,0.6509999999999999,0.28300000000000003
LA,2020-05-16,85.3,0.655,19116.5,Louisiana,0.33299999999999996,0.401,0.08199999999999999,0.156,244.8,0.18100000000000002,0.39899999999999997,55.83550000000001,0.12300000000000001,0.198,0.789,0.713,0.23800000000000002
MA,2020-05-16,89.60000000000001,0.679,35134.5,Massachusetts,0.415,0.423,0.066,0.157,281.49,0.249,0.41600000000000004,74.9445,0.086,0.198,0.7140000000000001,0.652,0.293
MD,2020-05-16,82.8,0.6559999999999999,36056.5,Maryland,0.36,0.46799999999999997,0.065,0.14,256.72499999999997,0.19399999999999998,0.415,68.16650000000001,0.132,0.22399999999999998,0.742,0.6579999999999999,0.305
ME,2020-05-16,85.9,0.531,13633.75,Maine,0.341,0.42200000000000004,0.055999999999999994,0.177,198.45,0.102,0.28300000000000003,49.9945,0.064,0.127,0.802,0.731,0.255
MI,2020-05-16,93.39999999999999,0.6859999999999999,28366.75,Michigan,0.466,0.488,0.061,0.179,250.59,0.268,0.45,57.5675,0.11699999999999999,0.237,0.746,0.6890000000000001,0.256
MN,2020-05-16,84.0,0.598,37739.5,Minnesota,0.28600000000000003,0.431,0.08199999999999999,0.17300000000000001,266.175,0.154,0.331,73.55850000000001,0.08,0.14400000000000002,0.755,0.7120000000000001,0.23800000000000002
MO,2020-05-16,82.89999999999999,0.57,30987.5,Missouri,0.252,0.43,0.025,0.134,209.44499999999996,0.11599999999999999,0.308,69.01150000000001,0.07200000000000001,0.17300000000000001,0.763,0.715,0.242
MS,2020-05-16,82.69999999999999,0.59,13039.5,Mississippi,0.228,0.493,,0.121,149.57999999999998,0.146,0.337,42.975,0.134,0.174,0.8029999999999999,0.7809999999999999,0.16699999999999998
MT,2020-05-16,82.5,0.461,7527.5,Montana,0.198,0.409,0.076,0.11800000000000001,163.53000000000003,0.10800000000000001,0.321,51.80049999999999,0.107,0.165,0.627,0.581,0.35600000000000004
NC,2020-05-16,86.3,0.628,32506.25,North Carolina,0.313,0.457,0.085,0.145,245.46,0.16899999999999998,0.38,67.741,0.102,0.22699999999999998,0.743,0.6509999999999999,0.284
ND,2020-05-16,90.10000000000001,0.604,8700.5,North Dakota,0.196,0.413,,0.163,123.14999999999999,,0.341,32.346000000000004,,0.168,0.743,0.723,0.254
